RI: [R U R' D' : [R' D R , U2]]
RN: [U R2 U' : [R U R' , D']]
QR: [R , U' L' U]
RB: [R2 U : [D , R' U' R]]
RD: [U' R2' : [D' , R U' R']]
RQ: [U' L' U , R]
FG: [R' U' : [D , R U R']]
FH: [U' R U' : [D' , R' U R]]
FK: [R : [F , R' U R U']]
FL: [D R' U' : [D' , R U R']]
FO: [D' R : [F , R' U R U']]
FP: [R' U' : [D' , R U R']]
FS: [l U2 l' , F]
FT: [D' R' U' : [D' , R U R']]
FU: [U' R' U : [R U' R' , D]]
FV: [U' D' R' U : [R U' R' , D]]
FW: [R U' R' : [D , R' U R]]
FX: [U' D R' U : [R U' R' , D]]
GF: [R' U' : [R U R' , D]]
HF: [U' R U' : [R' U R , D']]
KF: [U R U' : [F , U R' U' R]]
LF: [D R' U' : [R U R' , D']]
OF: [D' R : [R' U R U' , F]]
PF: [R' U' : [R U R' , D']]
SF: [F , l U2 l'] // [D R' U': [R U R', D]]
TF: [D' R' U' : [R U R' , D']]
UF: [U' R' U : [D , R U' R']]
VF: [U' D' R' U : [D , R U' R']]
WF: [R U' R2' : [U , R D R']]
XF: [U' D R' U : [D , R U' R']]
QG: [R' U : [D , R U' R']]
QH: [R , U' L U]
QK: [D' R' U : [D , R U' R']]
QL: [R' F : [D , R U' R']]
QO: [U' R U : [D , R' U' R]]
QS: [D R' U : [D , R U' R']]
QT: [R U' : [R' U R , D]]
QU: [D' R U' : [R' U R , D']]
QV: [U R' U' : [R U R' , D']]
VQ: [U R' U' : [D', R U R']]
QW: [D R U' : [R' U R , D']]
WQ: [D R U' : [D', R' U R ]]
QX: [R U' : [R' U R , D']]
XQ: [R U' : [D', R' U R ]]
GQ: [R' U : [R U' R' , D]]
HQ: [U' L U , R]
KQ: [D' R' U : [R U' R' , D]]
LQ: [R' F : [R U' R' , D]]
OQ: [U' R U : [R' U' R , D]]
PQ: [R' U : [R U' R' , D']]
QP: [R' U : [D' , R U' R']]
SQ: [D R' U : [R U' R' , D]]
TQ: [R U' : [D , R' U R]]
UQ: [D' R U' : [D' , R' U R]]
EG: [U R' : [U' , R' D R]]
EH: [R D' : [R D R' , U]]
EK: [U D' R' : [U' , R' D R]]
EL: [R U : [R' D R , U]]
EO: [U' R : [R U' R' , D']]
EP: [U R' U2 : [R D R' , U]] // [D R U: R' D R, U]
ES: [U D R' : [U' , R' D R]]
ET: [R U : [R' D' R , U]]
EU: [D' R : [R D' R' , U]]
EV: [U R' D' : [U' , R' D' R]]
EW: [D R : [R D' R', U]]
EX: [R : [R D' R' , U]]
GE: [U R' : [R' D R , U']]
